Dia;Descripcion;Comienzo;Fin;Aclaracion
6/11/2019;Actv4;17:00;18:00;
6/11/2019;Actv9;18:00;18:30;
6/11/2019;Others;18:30;18:50;
6/11/2019;Actv9;18:50;19:30;
6/11/2019;Others;19:30;19:45;
6/11/2019;Actv2;19:45;20:20;
6/11/2019;Actv3;20:20;22:20;
6/11/2019;Actv15;22:20;22:55;
6/11/2019;Actv2;22:55;00:40;
6/11/2019;Others;00:40;00:50;
6/11/2019;Others;00:50;01:24;
6/11/2019;Actv9;01:24;01:30;
7/11/2019;Others;10:00;11:00;
7/11/2019;Actv4;11:00;11:40;
7/11/2019;Others;11:40;11:50;
7/11/2019;Others + Actv3;11:50;13:40;
7/11/2019;Actv11;13:40;14:20;
7/11/2019;Actv2;14:20;15:04;
7/11/2019;Actv3;15:04;15:47;
7/11/2019;Actv2 + Others;15:47;16:40;
7/11/2019;Actv6 + Actv3;16:40;17:45;
7/11/2019;Actv6;17:45;18:50;
7/11/2019;Actv20;18:50;21:20;
7/11/2019;Actv6;21:20;22:30;
7/11/2019;Actv6 + Actv3;22:30;23:25;
7/11/2019;Actv15;23:25;00:40;
7/11/2019;Jugar;00:40;00:50;
7/11/2019;Actv9;00:50;01:30;
8/11/2019;Actv5 + Others;07:25;09:00;
8/11/2019;Actv9;09:00;09:40;
8/11/2019;Actv3;09:40;12:30;
8/11/2019;Actv5;12:30;12:40;
8/11/2019;Actv3;12:40;13:05;
8/11/2019;Others;13:05;13:35;
8/11/2019;Actv11;13:35;14:25;
8/11/2019;Actv2;14:25;18:00;
8/11/2019;Actv3;18:00;21:20;
8/11/2019;Actv15 + Actv2;21:20;02:30;
9/11/2019;Others;10:00;10:20;
9/11/2019;Actv3;10:20;12:00;
9/11/2019;Actv6;12:00;12:35;
9/11/2019;Actv6 + Actv3;12:35;13:35;
9/11/2019;Actv3;13:35;14:20;
9/11/2019;Others ;14:20;16:40;
9/11/2019;Actv6;16:40;17:10;
9/11/2019;Actv11;17:10;18:10;
9/11/2019;Others;18:10;19:00;
9/11/2019;Actv8;19:00;20:00;
9/11/2019;Others;20:00;21:40;
9/11/2019;Others;21:40;00:20;
9/11/2019;Actv6;00:20;00:40;
9/11/2019;Actv15;00:40;01:00;
9/11/2019;Actv1;01:00;01:15;
10/11/2019;Others;11:00;11:47;
10/11/2019;Others + Others;11:47;12:36;
10/11/2019;Actv5 + Actv1;12:36;14:08;
10/11/2019;Actv3;14:08;15:37;
10/11/2019;Actv11;15:37;16:20;
10/11/2019;Actv4;16:20;17:22;
10/11/2019;Actv3;17:22;18:50;
10/11/2019;Others;18:50;19:20;
10/11/2019;Actv3;19:20;20:00;
10/11/2019;Actv1;20:00;21:15;
10/11/2019;Actv3;21:15;22:20;
10/11/2019;Actv15;22:20;23:00;
10/11/2019;Actv1;23:00;23:40;
10/11/2019;Actv3;23:40;00:40;
